222.485,
221.933,
221.385,
220.843,
220.306,
219.774,
219.247,
218.725,
218.208,
217.696,
217.188,
216.685,
216.187,
215.693,
215.204,
214.72,
214.24,
213.764,
213.293,
212.826,
212.364,
211.905,
211.451,
211.001,
210.555,
210.114,
209.676,
209.242,
208.812,
208.386,
207.964,
207.546,
207.131,
206.721,
206.313,
205.91,
205.51,
205.114,
204.721,
204.332,
203.946,
203.564,
203.185,
202.81,
202.438,
202.069,
201.703,
201.341,
200.982,
200.626,
200.273,
199.923,
199.576,
199.232,
198.891,
198.554,
198.219,
197.887,
197.558,
197.232,
196.908,
196.588,
196.27,
195.955,
195.642,
195.332,
195.025,
194.721,
194.419,
194.12,
193.823,
193.528,
193.237,
192.947,
192.66,
192.376,
192.094,
191.814,
191.537,
191.262,
190.989,
190.718,
190.45,
190.184,
189.92,
189.658,
189.399,
189.141,
188.886,
188.633,
188.381,
188.132,
187.885,
187.64,
187.397,
187.156,
186.917,
186.679,
186.444,
186.211,
