1,5.45211
2,5.40476
3,5.35796
4,5.3117
5,5.26596
6,5.22075
7,5.17605
8,5.13186
9,5.08817
10,5.04498
11,5.00228
12,4.96007
13,4.91834
14,4.87707
15,4.83628
16,4.79594
17,4.75606
18,4.71663
19,4.67765
20,4.6391
21,4.60099
22,4.5633
23,4.52604
24,4.4892
25,4.45277
26,4.41674
27,4.38112
28,4.3459
29,4.31107
30,4.27663
31,4.24257
32,4.20889
33,4.17558
34,4.14264
35,4.11007
36,4.07786
37,4.046
38,4.0145
39,3.98334
40,3.95253
41,3.92206
42,3.89192
43,3.86211
44,3.83263
45,3.80348
46,3.77464
47,3.74612
48,3.71791
49,3.69
50,3.66241
51,3.63511
52,3.60811
53,3.5814
54,3.55498
55,3.52885
56,3.50301
57,3.47744
58,3.45215
59,3.42713
60,3.40238
61,3.37789
62,3.35368
63,3.32972
64,3.30601
65,3.28257
66,3.25937
67,3.23642
68,3.21372
69,3.19126
70,3.16904
71,3.14705
72,3.1253
73,3.10378
74,3.08249
75,3.06142
76,3.04058
77,3.01996
78,2.99955
79,2.97936
80,2.95939
81,2.93962
82,2.92006
83,2.90071
84,2.88156
85,2.86261
86,2.84386
87,2.8253
88,2.80694
89,2.78877
90,2.77079
91,2.753
92,2.73539
93,2.71796
94,2.70072
95,2.68365
96,2.66676
97,2.65005
98,2.6335
99,2.61713
100,2.60093
